fid,JASID,SiteName,Lon,Lat,P,J,Y,K,N,H,M,Alt,属性1
"208","11207002600",大塚古墳,139.0775113,36.02091913,"0","0","0","1","0","0","0",265.200012207031,丘陵地
"209","11207002700",大野原古墳群24号墳,139.0957138,36.01995319,"0","0","0","1","0","0","0",207.800003051758,台地段丘
"210","11207002800",,139.0833943,36.01838116,"0","1","0","0","0","0","0",204.100006103516,丘陵地
"211","11207002900",大畑遺跡,139.0892413,36.01594254,"0","1","0","1","0","0","0",200.5,丘陵地
"212","11207003000",阿保遺跡,139.0860828,36.01566484,"0","1","0","0","0","0","0",193.300003051758,丘陵地
"213","11207003100",,139.0973705,36.01620551,"0","1","0","0","0","0","0",253,台地段丘
"214","11207003200",柳田下ツ原遺跡,139.0844807,36.01372688,"0","0","1","0","0","0","0",196.100006103516,丘陵地
"215","11207003300",車塚古墳,139.1142292,36.0123859,"0","0","0","1","0","0","0",212.5,丘陵地
"216","11207003400",,139.0820295,36.00233484,"0","0","0","1","0","0","0",217.199996948242,丘陵地
"217","11207003500",柳田遺跡Ⅰ,139.0846117,36.01082284,"1","0","1","0","0","0","0",202.199996948242,
"218","11207003600",柳田遺跡Ⅱ,139.0831354,36.0094898,"0","1","1","0","0","1","0",202.199996948242,丘陵地
"219","11207003700",,139.0855387,36.01001746,"0","0","0","1","0","0","0",205.699996948242,丘陵地
"220","11207003800",金室遺跡,139.0816953,36.00827303,"0","0","0","1","0","0","0",203.899993896484,丘陵地
"221","11207003900",永田遺跡Ⅰ,139.0833875,36.00752092,"0","1","0","0","0","0","0",209.100006103516,
"222","11207004000",永田遺跡Ⅱ,139.0824347,36.00672324,"0","0","0","1","0","0","0",211.5,丘陵地
"223","11207004100",宮地遺跡,139.0917112,36.00688974,"0","1","0","1","0","0","0",221.300003051758,台地段丘
"224","11207004200",,139.0709999,36.00435375,"0","0","0","1","0","0","0",221.699996948242,丘陵地
"225","11207004300",,139.1137485,36.00433189,"0","1","0","0","0","0","0",247,丘陵地
